PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40622010,Immune-mediated adverse events in the randomized phase 3 TOPAZ-1 study of durvalumab plus gemcitabine and cisplatin in advanced biliary tract cancer.,2025,Juan Cundom; Marielle Holmblad; Magdalena Żotkiewicz; Julie Wang; Nana Rokutanda,"Oncology Biometrics, Late Oncology Statistics, AstraZeneca, Postępu 14, 02-676 Warsaw, Poland.; Instituto de Investigaciones Metabólicas, Libertad 836, C1012AAR Cdad, Buenos Aires, Argentina.; Oncology R&D, Late-Stage Development, AstraZeneca, 1 Medimmune Way, Gaithersburg, MD 20878-2204, USA.; Oncology R&D, Late-Stage Development, AstraZeneca, 430 East 29 Street, New York, NY 10016, USA.",
40621483,Immunotherapy in metastatic prostate cancer.,2025,Liam Dwyer; Claudia Leslie; Rhiannon Mellor; Tahlia Scheinberg; Lisa G Horvath,"Chris O'Brien Lifehouse, 119-143 Missenden Road, Camperdown, NSW 2050, Australia.; Chris O'Brien Lifehouse, Camperdown, NSW, Australia.",
40621477,Optimization of lentiviral delivery of barcoded anti-CD20 chimeric antigen receptors into rhesus macaque and human natural killer cells.,2025,Taha B Hayal; Aman A Mulla; Brynn B Duncan; Saanika Joshi; So Gun Hong; Chuanfeng Wu; Cynthia E Dunbar,"Translational Stem Cell Biology Branch, NHLBI, NIH, Bethesda, MD 20892, USA.",
40620884,The role of tumor-associated macrophages and PD-1/PD-L1 networking in colorectal cancer.,2025,George Zarkavelis; Eleftherios Kampletsas,"Society for Study of Clonal Heterogeneity of Neoplasia (EMEKEN), Ioannina, Greece.",
40620658,Combining antigen specific T-cells with T-cell engager therapy induces a molecular signature that favors T-cell fitness.,2025,Mathias Oelke; Sojung Kim; Ruipeng Wang; Jack A Ragheb,NexImmune Inc.,
40620423,Nanobody-Based CAR NK Cells for Possible Immunotherapy of Mesothelin,2025,Kyungsoo Ha,"Osong Medical Innovation Foundation, Cheonju 28160, Korea.",
40620080,Impact of culture vessel materials on biomanufacturing of dendritic cell-based immunotherapies in closed systems.,2025,Natalie Fekete,"Alliance for Regenerative Medicine, Washington D.C., USA.",
40620049,STING Agonist Drug Delivery by Bacterial Extracellular Vesicles Induces Synergistic Immuno-Oncology Responses and Efficient Inhibition of Tumour Growth.,2025,Negar Ordouzadeh,"Exocure Sweden AB, Gothenburg, Sweden.",
40619749,JCMM Annual Review on Advances in Biotechnology for the Treatment of Haematological Malignancies: A Review of the Latest In-Patient Developments 2024-2025.,2025,William Vainchenker; Stefan N Constantinescu,"INSERM UMR1287, Villejuif, France.; Université Paris-Saclay, Villejuif, France.; Walloon Excellence in Life Sciences and Biotechnology, Brussels, Belgium.; Gustave Roussy, Villejuif, France.",
40619472,Systematic literature review to identify prognostic factors of efficacy and safety outcomes of chimeric antigen receptor T-Cell therapies in diffuse large B-Cell lymphoma.,2025,Jonas Jost; Umberto Rosato; Sybille Riou; Stefan Walzer; Jörg Mahlich,"Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany.; MArS Market Access & Pricing Strategy GmbH, Geffelbachstraße 6, 79576, Weil Am Rhein, Germany.; Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany. Joerg.Mahlich@gmail.com.","Miltenyi Biomedicine, Friedrich-Ebert-Straße 68, 51429, Bergisch Gladbach, Germany. Joerg.Mahlich@gmail.com."
40619160,A General Approach for Sample Size Calculation With Nonproportional Hazards and Cure Rates.,2025,Huan Cheng; Xiaoyun Li,"BeOne Medicines USA, California, USA.",
40618676,Dose optimization in cancer drug development: Review and outcome of a multi-stakeholder workshop.,2025,Axel Glasmacher; Chad Gwaltney; Katrin Rupalla; Harald Weber,"Cancer Drug Development Forum (CDDF) asbl, Brussels Life Science Incubator, Clos Chapelle-aux-Champs 30, Bt 1.30.30, 1200 Woluwe Saint Lambert, Belgium; Dep. of Internal Medicine III, Universitätsklinikum Bonn, Venusberg-Campus 1, Bonn 53127, Germany. Electronic address: glasmacher@uni-bonn.de.; Gwaltney Consulting, Westerly, RI, USA.; Global Medical Affairs, Pfizer AG, Zug, Switzerland.; Johnson & Johnson Innovative Medicine, 1125 Harbourton Rd, Titusville, NJ 08560, USA.","Cancer Drug Development Forum (CDDF) asbl, Brussels Life Science Incubator, Clos Chapelle-aux-Champs 30, Bt 1.30.30, 1200 Woluwe Saint Lambert, Belgium; Dep. of Internal Medicine III, Universitätsklinikum Bonn, Venusberg-Campus 1, Bonn 53127, Germany. Electronic address: glasmacher@uni-bonn.de."
40618511,Effectorless Fc-fusion improves FLT3L drug-like properties for cancer immunotherapy combinations.,2025,Meredith McLerie; Matt Betzenhauser; Wendy Sandoval,"Discovery Biology, Curia Global Inc., Buffalo, NY, 14203, USA.",
